ダウンロードした時刻：2024/10/05 11:23:16,,,,,,,,,,
,,,,,,,,,,
,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路
年月,平均気温(℃),平均気温(℃),平均気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
Apr-23,6.7,8,1,186.2,0,8,1,71,8,1
May-23,10,8,1,214.2,0,8,1,79,8,1
Jun-23,15.5,8,1,157.3,0,8,1,85,8,1
Jul-23,20,8,1,167.4,0,8,1,86,8,1
Aug-23,21.8,8,1,102.9,0,8,1,90,8,1
Sep-23,19.9,8,1,137.2,0,8,1,87,8,1
Oct-23,12.5,8,1,188.2,0,8,1,77,8,1
Nov-23,7.2,8,1,166.2,0,8,1,68,8,1
Dec-23,-2.1,8,1,194.1,0,8,1,67,8,1
Jan-24,-3.6,8,1,160.4,0,8,1,71,8,1
Feb-24,-3.9,8,1,214.3,0,8,1,68,8,1
Mar-24,-0.6,8,1,240.4,0,8,1,68,8,1
